setting	exposure	outcome	n	beta	lo	hi	p	q
S1_TCGA_Xena	PGA	apm	716	-0.06892304913039642	-0.12689956184251022	-0.01094653641828261	0.01987343747953758	0.04111745685421568
S1_TCGA_Xena	PGA	isg	716	-0.03602519822103321	-0.09401951161406208	0.021969115171995672	0.22303047146940605	0.2912882714509852
S1_TCGA_Xena	PGA	cgas_sting	716	-0.04901764238778783	-0.08440499628335357	-0.013630288492222087	0.006697146582508307	0.022561965207027378
S1_TCGA_Xena	PGA	tcell_inflamed	716	-0.08198744960806564	-0.1303386476356586	-0.03363625158047266	0.0009161284785120666	0.0045806423925603326
S1_TCGA_Xena	PGA	treg	716	-0.05986629708368802	-0.10668916346445789	-0.013043430702918149	0.012286343978461695	0.029487225548308068
S1_TCGA_Xena	PGA	myeloid	716	-0.0624920273195864	-0.11832461488152454	-0.006659439757648246	0.028307922119761467	0.05509107807279989
S1_TCGA_Xena	PGA	tgfb_stroma	716	-0.0022019440032359687	-0.055906365546747626	0.05150247754027568	0.9358640855649295	0.9517261887100978
S1_TCGA_Xena	PGA	exhaustion	716	-0.07447366763652705	-0.13067658206449917	-0.018270753208554938	0.00947338189597186	0.02471317016340485
S1_TCGA_Xena	n_high	cytolytic	716	-0.04177911006671395	-0.10594120391249037	0.022382983779062476	0.20152408895296928	0.2807749840998491
S1_TCGA_Xena	n_high	cd8_tcell	716	-0.032371337478787066	-0.094966507961773	0.03022383300419887	0.3102939151183598	0.3826086818481209
S1_TCGA_Xena	n_high	apm	716	-0.028899355768863422	-0.08553982443881639	0.027741112901089538	0.31681697848055734	0.3826086818481209
S1_TCGA_Xena	n_high	isg	716	-0.0287081252712691	-0.08520972964479528	0.027793479102257095	0.3188405682067674	0.3826086818481209
S1_TCGA_Xena	n_high	cgas_sting	716	-0.03338400693435715	-0.0679399782372751	0.0011719643685608044	0.05826988677757231	0.09989123447583824
S1_TCGA_Xena	n_high	tcell_inflamed	716	-0.0423282312094966	-0.08968145002908051	0.005024987610087302	0.07969596891561823	0.13282661485936373
S1_TCGA_Xena	n_high	treg	716	-0.007589262588071858	-0.0533891608809695	0.038210635704825774	0.7450280777034982	0.7842400817931561
S1_TCGA_Xena	n_high	myeloid	716	-0.023591279696433397	-0.07812449627870398	0.030941936885837185	0.39598219482267	0.4482817299879283
S1_TCGA_Xena	n_high	tgfb_stroma	716	-0.001451477067356377	-0.053755682687656806	0.05085272855294405	0.9565656829837554	0.9565656829837554
S1_TCGA_Xena	n_high	exhaustion	716	-0.038159430719825894	-0.09308467860612812	0.016765817166476328	0.17299615133539445	0.25890144488737005
S2_TCGA_PCAWG	WGD	cytolytic	716	-0.3332531789045471	-0.4616147270842178	-0.20489163072487637	4.423475113681713e-07	8.846950227363425e-06
