setting	exposure	outcome	n	beta	p	q
nonTCGA (all)	PGA	treg	421	-0.07086061205857033	0.04344400115956262	0.28962667439708417
nonTCGA (all)	PGA	myeloid	421	-0.02224217117716632	0.5568240603285544	0.6839840285177434
nonTCGA (all)	PGA	tgfb_stroma	421	0.004423103473619482	0.907925869701867	0.955711441791439
nonTCGA (all)	PGA	exhaustion	421	-0.05622192522001579	0.1322879359111804	0.4689666423857937
nonTCGA (all)	n_high	cytolytic	421	-0.03466864358752709	0.44562835094637504	0.636611929923393
nonTCGA (all)	n_high	cd8_tcell	421	0.012854445026951086	0.7804860629437522	0.8514393413931842
nonTCGA (all)	n_high	apm	421	-0.08070550038274388	0.03913546730020163	0.28962667439708417
nonTCGA (all)	n_high	isg	421	-0.04011603516998385	0.30187724468083854	0.5854405362156586
nonTCGA (all)	n_high	cgas_sting	421	0.0006883791454142182	0.9785944429363893	0.9785944429363893
nonTCGA (all)	n_high	tcell_inflamed	421	-0.03595054254725421	0.2783060874818673	0.5758056982383462
nonTCGA (all)	n_high	treg	421	-0.04601673776922505	0.18286031357964175	0.4987099461262957
nonTCGA (all)	n_high	myeloid	421	-0.0328971589274512	0.37662338905895215	0.5854405362156586
nonTCGA (all)	n_high	tgfb_stroma	421	0.006769630552969495	0.8571191857549698	0.9183419847374676
nonTCGA (all)	n_high	exhaustion	421	-0.034468787575932774	0.34835459010436337	0.5854405362156586
nonTCGA (shared histologies only)	WGD	cytolytic	259	0.015485616953564943	0.8994241644389841	0.9906777823275729
nonTCGA (shared histologies only)	WGD	cd8_tcell	259	0.0014487811112381711	0.9906777823275729	0.9906777823275729
nonTCGA (shared histologies only)	WGD	apm	259	0.031204630360729985	0.7764596846102284	0.9906777823275729
nonTCGA (shared histologies only)	WGD	isg	259	-0.13322204194708326	0.22358327952536564	0.8384372982201211
nonTCGA (shared histologies only)	WGD	cgas_sting	259	-0.1278997441337353	0.06899285949538707	0.6993180649043597
nonTCGA (shared histologies only)	WGD	tcell_inflamed	259	0.019530731002748054	0.8299143262952072	0.9906777823275729
nonTCGA (shared histologies only)	WGD	treg	259	-0.07202193230562172	0.43886497808243274	0.9752555068498505
nonTCGA (shared histologies only)	WGD	myeloid	259	0.053565741511860596	0.6023849760978337	0.9906777823275729
nonTCGA (shared histologies only)	WGD	tgfb_stroma	259	0.04620238086787026	0.6735723915641629	0.9906777823275729
nonTCGA (shared histologies only)	WGD	exhaustion	259	-0.030771319548653503	0.7608782503754967	0.9906777823275729
nonTCGA (shared histologies only)	ploidy	cytolytic	259	0.02571082290101677	0.6372955920355636	0.9906777823275729
nonTCGA (shared histologies only)	ploidy	cd8_tcell	259	0.017346413213790945	0.7533064141116085	0.9906777823275729
nonTCGA (shared histologies only)	ploidy	apm	259	0.04335181887977938	0.37522410845151183	0.9752555068498505
nonTCGA (shared histologies only)	ploidy	isg	259	-0.047658045846399516	0.32830863190116916	0.9380246625747691
nonTCGA (shared histologies only)	ploidy	cgas_sting	259	-0.0655908873705258	0.0359818419001928	0.6993180649043597
